,Summoner ID
130,M4XaG_4nDtE8HQNtlQ5mEj7esQwpS7BS6T5nDuU0QE7FqvrT
131,WGPAQBOomPdIUdGrK3CFIyoSOoEZsXlXLMN1ZuHyeJWCuGVo
132,IGm8CxGBiNNaEgu2bmIv3xiIfwYHzzN3RLJ_sevoH0FjsQPK
133,Fk0O88cKNXBXc_WJuKH15vemLKgBdJr0k1wHic3pP6erHIBA
134,zfLcuYBxScLY9ZBM4nWlxLZW7eCatTQWdUJIx7h8XLeeOVtx
135,bmDnPGDDMeRS4PE6LvlbfePX_oUVImssfjgVHoBdr02QLt0j
136,XG6d46VNwmXAcRwN9XUzvj55tbFPgokSoKUsxY3LQcB7qOZN
137,Ga6gzRjB3Qk1v0pANNuIe7QE1AEnhHDv6usaSnrroSZVkLNm
138,_9sEj_ws2J6dlPzYzDvP1aZkcJvDo1c3EgHZ3RKPLMKctB_v
139,Q07t4mkfkjP0oLT7GJpJZkGN4AnW873zpF-OCLHshNqxuIao
140,8PhK71kKMM4ytYdM1400waIGb9aRhuLonfg8ZBKDMDgXmpGG
141,37QD7lNWDOgRcIjNrwPFPdSVe_b10929nUlQJTKMOAIJc2JW
142,45Z_yN_ahAJuOao8Rao-3lCnT_UC2cJCye8RlMm4IR6baWwR
143,gagu8URC1F_VTVYrQeoxUHJ0nk4KjQFeeS4L9pD4G6w-UURk
144,tt1-ezFqNvoURcSLvifteMImTwV14loejpDTPhaxvb_joVuU
145,OjKmu7HScc61lv-nvMvz1-0XSD07DRwoBnokTad5bxWQikWG
146,KAjkkrTjuhv6slyYXgqIDpSZ_aCeeQ99BC2zvCkVBWP-g8Dp
147,l6IvrS32wBbTAL7exdK7JIXJbN75t9AiRGeZEsV6YQp5L6je
148,laMcmeop9ww8Yik0T7hee8wMR1I3-G5jmCpYVvsq0X1eK1d7
149,NLUUx7DJwLqtrLo5GH30SKAGzNC1Wu5CMxr697TL603euy8-
150,29wO0ofxD4Wij3xY9qbdwWebO1WyLyq6-Z-FbR7_U85xdmZR
151,31VNrxYIuUZRMOa9-8uLEg_amJNt42I_w9h6zn0M1tuKVesK
152,C4L6vYq6olQWSemN5zGcYzDIWhMlqlgOKq_ZyTNU9_o-jrbh
153,xGbsZ-b2W-cbDGoykJkMTte46UVnckVPA7SZ7GXFO9B7s_w3
154,JaIrdTmFlVTlLzl4__IT6yg4cMVT_y55xu4nIXG0bL9Al0aQ
155,Dgbf2Hk5rgMfyXqr6TxY2E81G9JsvJ_3YHAq7xugljMkdEqr
156,M_go4oDGCd8Poz0mwh3fXMPmxGaCGyKseUw20zk1s3_NB8LR
157,zpD7nY4sryzeK8E2n7LnuM0-RPz4IBD6EdBT9-BLYqbeJNrB
158,zG9cYafB1dEX0i1pzNRo0yOQrxUxI1N91oGiqGfMwidxtMoR
159,ywR8feZKyBaBS8SuDCKqRDdlwMUQAf044TMyBKfr4IPeLkds
160,K6g-pMzGM8r6Kq9fcrzRSz8j8Ih8wbIoJZyiVZqVdehwLMit
161,uMvky6Fv_ZEInSd6jvDD71CqRM9ozEih0XD4sTvCQgC_zk2J
162,N9jy2-ByB4GUDNGJHgEYe3GzP-45DoxKWy6SXAILjkKBWW4G
163,wajmlmdaD0Sc-U8J7EGaeJKKHk6cPQAQz-5ie_k051woJTam
164,-WmnhCq5aVlqbmeYpApS3PMxau4CQjbdrXyG8Zw24eYCS2nD
165,wuXWaF7oYsOu9lZv8zm5KvTzhxja4XO0kUAz74zhCsDdECMa
166,8lZnRSu-VKlEeWrUI7zCk1U5MDAovK6ZSuWuT8V1oCb-R5hr
167,cWfSjDLfkQhbJFnacTT_G1oEZkwH78zwoMw-pFLym_aOX358
168,vWX_XuQRnBKxWZE3KHYLk0G_OMOGTl1g7rYZ_TuNp0ddW_FO
169,lsG1XwKHT_Crza5uvn5mNzFR_3d7cpKiaEGv745LUS6_K3tl
170,mzuaCsxnn3mwa2PoQ_1ftlmEqlegbfB1in81uCM2WgqkwIyK
171,nQot6zTwFY7EwJRtkkX3OSsTsdvl9cJQDAMTP8emMUpQFpxY
172,UeverxwuRmHqZmQRq9f50cX-a6AwNrqjZSZ8cT84U-3eE5f7
173,BicKVC_vfGZSCLQgt60ORJ6LCY3ca7dLOFw7VI51g4FCClSA
174,1ZLtfmNgkozqXPK2A6ARQi9o2Pck3k9LLNoziiWKe8STxR6q
175,8_36_OK20FUgtgkEPz2IRioWY6PGoLDNLSlSrwz2FjN4jp8p
176,DDuNr1jrl7pofqICZD3pg5hP_RKxA5iJrn1onQvsjmCOA9u0
177,DflWw8v846Rba09geF1x8RY94yl8kA--DZOqPu3O3sEUBepK
178,FcQ6y5OIYRkAxFONFDjfLWn7-3EwQS4a9dWOwNHg43jr247f
179,JCd-U9qpsu-3ZSoszSGonPSWapsG_4lIq6GW-VMQvCg2ZD1-
180,usmo3ZM8SvJ_jyVoZW2rhhQMKvMIEpUhkn0zMubailK_6fEa
181,Ef9sQwGFYI5XENtLu8OQ8lofOU8z-uVbNLi4dfQNDxIGBtLv
182,nYPBnf539aGxgIMKjSxUfF-pRTNnF58KEweexTiPRzL3qrsK
183,i7xt2iowkUXiBVModTNWzd9UVkUSl4kkPjdTg9DTgXvdzs3V
184,o6VQW-N4VcUFixfq4YS8Oh8XVv-eg2MSyf-RXlcWET74EZir
185,RWJxl6-6JszQuCVkuu72343sjitoJErLl08rEmYa8PSrihnW
186,mryD5S1ZCiL1SkZTEQYW2_kCi-tg3xrFrux0BRYA1bHOI55X
187,uYWY-OxSOdV5mLc2rElLjICG-EznE6bl51bcUVIefgqhDWf8
188,kg_vpVMf0cXzV5rH7aaS88DPuq1e3ezEAXklcZOHdqyZ3DiS
189,AfnvmoT2n25wAgdIC2YKlWD8R0lNgu3TaIljHZ3UvGe3LgVJ
190,Fd4qa7W15hXKPsNKZdNtcfJslgiaglFloL4cTzcBgPBoAKNq
191,RFCFE11eEHX7eZ04FuBjMmgwlGcychMgRMOWzp0ItwkWjVFt
192,fCvK1T3QRGW9_w6pidURDsbOXv0bwKlN8x9fNNMYNyuhxRon
193,w9YdYZsh-hwALDHpkFl5vwCUF2cXllZrT11uFM7iJKs5TZCK
194,C6D1OJITwRRdZmjJbUcsVnPvJef_uhnA0B35C2x1y0vLB0DO
195,DAJMXBM4o-9AD2wzPmHQz4ZibrqIe6ueTtRzqRzMFZeSy5e2
196,BF4pa_-DY-MhrYckok_wD1Ap5AAucfD7qAIjAUy8kaR0q_xd
197,339SOx0Cve4jQv9YjJWKsh2jm5yLawD1Qp54gPYOTIOhBEA0
198,bWnfk41ptDEzQo1dLvvHIaKy10Wl3pUgCnNBiZ1O6NRaMnhN
199,4rETtb8ZtUjSE0QyWZuy7GGReuMeMXtl1oTQsVwFU6G3yeuc
200,qCcegvBMC6_Dv0Of4w_HFNqr8q6fn6np6ZENecIdnMYpHvVp
201,G-oyn5Knn84ZszKFm6E4njSYkyD5_OOZ8zrrZ_3S81kM1b1q
202,3Es2sZiNz3tdfRFdEJgg5RpFkrocAOiPLQrGpgGCQGXTyFxq
203,mH9R1BWfYtOu0NZLDXZaQfbEvj7YKF13Dc_K35t79ZFK896t
204,gjOCLJjCpS05_Svd-88lHKMXp91azw87Inl6sBHqe3UxWU7k
205,qCcegvBMC6_Dv0Of4w_HFNqr8q6fn6np6ZENecIdnMYpHvVp
206,G-oyn5Knn84ZszKFm6E4njSYkyD5_OOZ8zrrZ_3S81kM1b1q
207,3Es2sZiNz3tdfRFdEJgg5RpFkrocAOiPLQrGpgGCQGXTyFxq
208,mH9R1BWfYtOu0NZLDXZaQfbEvj7YKF13Dc_K35t79ZFK896t
209,gjOCLJjCpS05_Svd-88lHKMXp91azw87Inl6sBHqe3UxWU7k
210,7aemyqvbaV_gnczFNbIhMMoUUCorrA_WsOO3-Mf1wrj9uGhH
211,Lbhni4OItuYUfFWW_Usd-MilrqDBVyGiRi9-2Diumu1IaBzP
212,E2SrHbm_FhaCzLsoSKbvtAp_H-S_53O88CpuSYkI5cfpmSvg
213,axFSfWznnC1L51UVi04e6QmcYrhNSNG3Aa40vRaNHYeNcPHG
214,eHY1SjzR5D9M2FfYSu8Pe6bBJLMyGApP9_KhE4mDlVKOMaOw
215,OlV2RJPddsvO9PuhVBfYgTljL9_uah3bu_b6LT8wV6iRGB3l
216,Hd2NyvPFCaK6xqbsxRWR_OjoNUIH33ZTpT-fukq4CYft-04D
217,pXZge9vc2LGQJ6QPEuNNNaUKv6N6pa4T7HiAafBlbsknWgvn
218,UqZFE8dsaUwyuqKUAeGd4FRrXMZY_5IIJ74dvlP_mDJ3ie_E
219,jPF6rQRL8W4zDh0B36C3QVpzToUMVwwK1NasWdgFjsyis87e
220,tYknybnniQoCLkAPjiv8iCW1z8YmH-JYg3ymnFNbp_GdkldV
221,jWA5-Ai_orwgWYH8uq5kHuZZ155dd45F0V6NFZtoyiLOqg9_
222,-hMkGlcLNln50B8_ZxMwU1JaJG9zvzIpsxOXovve1u3eWUgB
223,fBY4KUxCSl8x_48JDnGfJSBWJBmTX8dNap-0FT3CpVhp3OKJ
224,AKy1gYxPiiEXhoC026A4tlG9GuTCE3MOED2TrHhlgZ2-DXi3
225,99xO42MouGAoc4IwLOEt9BuBFKpLVsQpZjNkXY34ADBfMcc0
226,5Sssqm6AtYh-49w8lFpEXGODjROeY1e5elLU3n4mMCc7elFV
227,9USHIlcHlEJLF2NWWukEf4yroVZyrzj_cJRxU7PA6cQ1bEPj
228,7DQU4lopLIHq2XKaY0SNRgP7vc_6cGjMTubPntkx9vm6J-hi
229,emOI3h1y6gFYVNxI-wt2Tg_eCNgaCBT3k6ndziloapjP6yBU
230,GBWSKebDjK90_owLqJXohz5xe9AeK3ftnBwpZTK6sUdnPxTL
231,ueLThznJVztdT3RuJ_y19nc9cnYE0hGDMRYDwiAUPvwtgqxE
232,GwR9HolkY7e9G13Ty-AlULMbevw0iRBs_YB3V4MgNDx9SHNn
233,4-FZ59ytYuFZSQ8ubRvpiUTQllJZAIHmpbWf0HQCYVL3J0FN
234,l1fKB8rGwjgksQ8YpImFJ0tKAuB3g5iSGw953wa6qqRkrEUq
235,SUsTjmiL76b7NgnTLtgjOVsARuOYwHFzzJCtP-U23JJI24Xv
236,gihkx2ZuIlreiy2784dWdV9FibX8yV-sJmIFy9EWot1DZKXF
237,vwYVhy3Jc-6FV-sCcpvdKEtW6GSwJvmICPxr4v-VZoYXrc0w
238,CukFC6hAXV4t7hZhKDwD2eyLLhNt_uLYIUTzx_3ahSLRJmnL
239,0snxjJiIEZiz2Ykmih16ghmrW8Se_D8ezxZ9dT53f1TogoVD
240,B8im_Mc-DBSZRoXyBLiYFOYR53PjSNHN7uFwf82Cag-mIeWv
241,ItaxET06C1HPXWG5RUY0DAM62SL3YmZ9s6cjfW3m8_e--12k
242,HUwdxyVsDWIiNh0_QKhjPwf8iqKiy-fAFrZCRhGNw7AyzdXx
243,PCFExXNAvWeDUbG4gaDngLFVfj8bLdfHBZZksJKudQ9WQ-Bk
244,eWkO6bMAALEEYyHNuHiGbrmV4XUBYaiMWcp3n5t6T9IclNPM
